"bluestock_fintech_—_nifty_100__|__cash_flow__|__1,187_records",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,year_label,fiscal_year,quarter,is_ttm,is_half_year,sort_order,free_cash_flow
id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,id,,,False,False,0,
37,TCS,Mar-13,11615,-6038,-5729,-152,37,,,False,False,0,
38,TCS,Mar-14,14751,-9452,-5673,-374,38,,,False,False,0,
39,TCS,Mar-15,19369,-1807,-17168,394,39,,,False,False,0,
40,TCS,Mar-16,19109,-5010,-9666,4433,40,,,False,False,0,
41,TCS,Mar-17,25223,-16895,-11026,-2698,41,,,False,False,0,
42,TCS,Mar-18,25067,3104,-26885,1286,42,,,False,False,0,
43,TCS,Mar-19,28593,1645,-27897,2341,43,,,False,False,0,
44,TCS,Mar-20,32369,8968,-39915,1422,44,,,False,False,0,
45,TCS,Mar-21,38802,-7956,-32634,-1788,45,,,False,False,0,
46,TCS,Mar-22,39949,-738,-33581,5630,46,,,False,False,0,
47,TCS,Mar-23,41965,548,-47878,-5365,47,,,False,False,0,
48,TCS,Mar-24,44338,6091,-48536,1893,48,,,False,False,0,
61,ABB,Dec 2012,101,-59,-42,1,61,,,False,False,0,
62,ABB,Mar 2014,155,-144,-42,-31,62,,,False,False,0,
63,ABB,Mar 2015,215,-187,-58,-30,63,,,False,False,0,
64,ABB,Mar 2016,249,-77,-80,91,64,,,False,False,0,
65,ABB,Mar 2017,307,-155,-90,62,65,,,False,False,0,
66,ABB,Mar 2018,153,-215,-102,-165,66,,,False,False,0,
67,ABB,Mar 2019,499,-257,-143,99,67,,,False,False,0,
68,ABB,Mar 2020,626,-401,-217,8,68,,,False,False,0,
69,ABB,Mar 2021,727,-72,-582,73,69,,,False,False,0,
70,ABB,Mar 2022,948,-396,-637,-86,70,,,False,False,0,
71,ABB,Mar 2023,893,-148,-639,107,71,,,False,False,0,
72,ABB,Mar 2024,1213,-416,-745,52,72,,,False,False,0,
73,ABB,Mar 2014,0,0,0,0,73,,,False,False,0,
74,ABB,Mar 2015,-35,-1864,1902,3,74,,,False,False,0,
75,ABB,Mar 2016,1544,-816,-722,6,75,,,False,False,0,
76,ABB,Mar 2017,2189,-1730,-455,4,76,,,False,False,0,
77,ABB,Mar 2018,2198,-3192,1589,596,77,,,False,False,0,
78,ABB,Mar 2019,2591,-3050,38,-421,78,,,False,False,0,
79,ABB,Mar 2020,5437,-5643,1250,1045,79,,,False,False,0,
80,ABB,Mar 2021,3784,-4009,-745,-969,80,,,False,False,0,
81,ABB,Mar 2022,4097,-3936,-235,-75,81,,,False,False,0,
82,ABB,Mar 2023,3777,-4699,923,2,82,,,False,False,0,
83,ABB,Mar 2024,6038,-4943,-543,551,83,,,False,False,0,
84,ADANIENSOL,Mar 2014,0,0,0,0,84,,,False,False,0,
85,ADANIENSOL,Mar 2015,-35,-1864,1902,3,85,,,False,False,0,
86,ADANIENSOL,Mar 2016,1544,-816,-722,6,86,,,False,False,0,
87,ADANIENSOL,Mar 2017,2189,-1730,-455,4,87,,,False,False,0,
88,ADANIENSOL,Mar 2018,2198,-3192,1589,596,88,,,False,False,0,
89,ADANIENSOL,Mar 2019,2591,-3050,38,-421,89,,,False,False,0,
90,ADANIENSOL,Mar 2020,5437,-5643,1250,1045,90,,,False,False,0,
91,ADANIENSOL,Mar 2021,3784,-4009,-745,-969,91,,,False,False,0,
92,ADANIENSOL,Mar 2022,4097,-3936,-235,-75,92,,,False,False,0,
93,ADANIENSOL,Mar 2023,3777,-4699,923,2,93,,,False,False,0,
94,ADANIENSOL,Mar 2024,6038,-4943,-543,551,94,,,False,False,0,
95,ADANIENT,Mar 2013,7666,-14790,7199,75,95,,,False,False,0,
96,ADANIENT,Mar 2014,8228,-8007,-1109,-888,96,,,False,False,0,
97,ADANIENT,Mar 2015,8532,-11465,3445,512,97,,,False,False,0,
98,ADANIENT,Mar 2016,5112,-1825,-3448,-161,98,,,False,False,0,
99,ADANIENT,Mar 2017,774,-1460,716,30,99,,,False,False,0,
100,ADANIENT,Mar 2018,2942,-7649,5120,413,100,,,False,False,0,
101,ADANIENT,Mar 2019,3236,2487,-6158,-436,101,,,False,False,0,
102,ADANIENT,Mar 2020,2454,-1082,-221,1151,102,,,False,False,0,
103,ADANIENT,Mar 2021,4043,-8611,3109,-1459,103,,,False,False,0,
104,ADANIENT,Mar 2022,1385,-17041,15901,246,104,,,False,False,0,
105,ADANIENT,Mar 2023,17626,-15459,-1198,970,105,,,False,False,0,
106,ADANIENT,Mar 2024,10312,-18767,8879,424,106,,,False,False,0,
107,ADANIGREEN,Mar 2017,28,-1511,1559,76,107,,,False,False,0,
108,ADANIGREEN,Mar 2018,649,-4428,3942,162,108,,,False,False,0,
109,ADANIGREEN,Mar 2019,1625,-2666,1045,3,109,,,False,False,0,
110,ADANIGREEN,Mar 2020,1965,-3743,2161,383,110,,,False,False,0,
111,ADANIGREEN,Mar 2021,1601,-9137,7083,-453,111,,,False,False,0,
112,ADANIGREEN,Mar 2022,3127,-18730,15986,383,112,,,False,False,0,
113,ADANIGREEN,Mar 2023,7265,-3857,-2973,435,113,,,False,False,0,
114,ADANIGREEN,Mar 2024,7713,-21060,13953,606,114,,,False,False,0,
115,ADANIPORTS,Mar 2013,1379,-5136,4138,381,115,,,False,False,0,
116,ADANIPORTS,Mar 2014,1132,-2510,772,-606,116,,,False,False,0,
117,ADANIPORTS,Mar 2015,3057,-2485,-237,335,117,,,False,False,0,
118,ADANIPORTS,Mar 2016,2381,-4153,2170,398,118,,,False,False,0,
119,ADANIPORTS,Mar 2017,4063,-2629,-1325,109,119,,,False,False,0,
120,ADANIPORTS,Mar 2018,5608,-3846,-1889,-127,120,,,False,False,0,
121,ADANIPORTS,Mar 2019,6029,-4368,2313,3975,121,,,False,False,0,
122,ADANIPORTS,Mar 2020,7402,-749,-4256,2397,122,,,False,False,0,
123,ADANIPORTS,Mar 2021,7556,-14064,3514,-2994,123,,,False,False,0,
124,ADANIPORTS,Mar 2022,10420,-5493,-586,4341,124,,,False,False,0,
125,ADANIPORTS,Mar 2023,11900,-16716,-2734,-7550,125,,,False,False,0,
126,ADANIPORTS,Mar 2024,15018,-6768,-7800,450,126,,,False,False,0,
127,ADANIPOWER,Mar 2013,3001,-4064,861,-203,127,,,False,False,0,
128,ADANIPOWER,Mar 2014,3238,-4700,1631,169,128,,,False,False,0,
129,ADANIPOWER,Mar 2015,5824,-4737,-1144,-58,129,,,False,False,0,
130,ADANIPOWER,Mar 2016,5257,-2692,-2713,-148,130,,,False,False,0,
131,ADANIPOWER,Mar 2017,4725,-1212,-3539,-26,131,,,False,False,0,
132,ADANIPOWER,Mar 2018,5101,-520,-4600,-19,132,,,False,False,0,
133,ADANIPOWER,Mar 2019,5610,-984,-4663,-37,133,,,False,False,0,
134,ADANIPOWER,Mar 2020,5598,-2304,-2377,917,134,,,False,False,0,
135,ADANIPOWER,Mar 2021,7014,-2188,-5655,-828,135,,,False,False,0,
136,ADANIPOWER,Mar 2022,10233,774,-10338,669,136,,,False,False,0,
137,ADANIPOWER,Mar 2023,8431,1545,-10408,-433,137,,,False,False,0,
138,ADANIPOWER,Mar 2024,14170,3481,-16864,787,138,,,False,False,0,
139,AMBUJACEM,Dec 2012,1860,-388,-509,962,139,,,False,False,0,
140,AMBUJACEM,Dec 2013,1267,-496,-672,99,140,,,False,False,0,
141,AMBUJACEM,Dec 2014,1675,-456,-721,498,141,,,False,False,0,
142,AMBUJACEM,Dec 2015,1557,-83,-900,574,142,,,False,False,0,
143,AMBUJACEM,Dec 2016,2810,-4165,-958,-2312,143,,,False,False,0,
144,AMBUJACEM,Dec 2017,3416,-738,-1015,1663,144,,,False,False,0,
145,AMBUJACEM,Dec 2018,1703,-765,-719,220,145,,,False,False,0,
146,AMBUJACEM,Dec 2019,4739,-1191,-629,2919,146,,,False,False,0,
147,AMBUJACEM,Dec 2020,4832,-1317,-3956,-441,147,,,False,False,0,
148,AMBUJACEM,Dec 2021,5309,-2007,-516,2786,148,,,False,False,0,
149,AMBUJACEM,Mar 2023,735,-14481,2931,-10815,149,,,False,False,0,
150,AMBUJACEM,Mar 2024,5646,-8941,5689,2394,150,,,False,False,0,
151,APOLLOHOSP,Mar 2013,443,-733,373,83,151,,,False,False,0,
152,APOLLOHOSP,Mar 2014,373,-356,-63,-46,152,,,False,False,0,
153,APOLLOHOSP,Mar 2015,470,-759,392,103,153,,,False,False,0,
154,APOLLOHOSP,Mar 2016,597,-888,330,39,154,,,False,False,0,
155,APOLLOHOSP,Mar 2017,623,-1152,477,-52,155,,,False,False,0,
156,APOLLOHOSP,Mar 2018,537,-405,-108,24,156,,,False,False,0,
157,APOLLOHOSP,Mar 2019,905,-711,-215,-20,157,,,False,False,0,
158,APOLLOHOSP,Mar 2020,1293,-289,-910,94,158,,,False,False,0,
159,APOLLOHOSP,Mar 2021,1265,-880,-340,44,159,,,False,False,0,
160,APOLLOHOSP,Mar 2022,1696,-747,-792,158,160,,,False,False,0,
161,APOLLOHOSP,Mar 2023,1377,-857,-633,-113,161,,,False,False,0,
162,APOLLOHOSP,Mar 2024,1920,-1537,-311,72,162,,,False,False,0,
163,ASIANPAINT,Mar 2013,1187,-463,-601,123,163,,,False,False,0,
164,ASIANPAINT,Mar 2014,1402,-586,-626,190,164,,,False,False,0,
165,ASIANPAINT,Mar 2015,1188,-465,-576,147,165,,,False,False,0,
166,ASIANPAINT,Mar 2016,2243,-866,-849,528,166,,,False,False,0,
167,ASIANPAINT,Mar 2017,1527,-681,-756,90,167,,,False,False,0,
168,ASIANPAINT,Mar 2018,2113,-1556,-1379,-822,168,,,False,False,0,
169,ASIANPAINT,Mar 2019,2470,-918,-1117,434,169,,,False,False,0,
170,ASIANPAINT,Mar 2020,3038,-518,-2871,-351,170,,,False,False,0,
171,ASIANPAINT,Mar 2021,3683,-541,-650,2492,171,,,False,False,0,
172,ASIANPAINT,Mar 2022,986,-317,-1808,-1138,172,,,False,False,0,
173,ASIANPAINT,Mar 2023,4193,-1282,-2140,771,173,,,False,False,0,
174,ASIANPAINT,Mar 2024,6104,-2548,-2982,573,174,,,False,False,0,
189,AGTL,Mar 2018,277,-988,779,68,189,,,False,False,0,
190,AGTL,Mar 2019,356,791,-1077,70,190,,,False,False,0,
191,AGTL,Mar 2020,492,-461,-102,-71,191,,,False,False,0,
192,AGTL,Mar 2021,654,-770,39,-78,192,,,False,False,0,
193,AGTL,Mar 2022,732,-1133,422,21,193,,,False,False,0,
194,AGTL,Mar 2023,853,-1167,295,-19,194,,,False,False,0,
195,AGTL,Mar 2024,955,-752,-78,125,195,,,False,False,0,
196,AXISBANK,Mar 2013,2573,-10939,14931,6566,196,,,False,False,0,
197,AXISBANK,Mar 2014,14464,-14166,7785,8082,197,,,False,False,0,
