"bluestock_fintech_—_nifty_100__|__documents__|__1,585_records",unnamed:_1,unnamed:_2,unnamed:_3,year_label,fiscal_year,quarter,is_ttm,is_half_year,sort_order
id,company_id,Year,Annual_Report,id,,,False,False,0
1,ABB,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/270738a5-1a37-4f0f-9de6-e16dc27ff432.pdf,1,,,False,False,0
2,ABB,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//68827cf7-67af-4209-91f5-3854d3e1e8a2.pdf,2,,,False,False,0
3,ABB,2022,https://www.bseindia.com/bseplus/AnnualReport/500488/73779500488.pdf,3,,,False,False,0
4,ABB,2021,https://www.bseindia.com/bseplus/AnnualReport/500488/68744500488.pdf,4,,,False,False,0
5,ABB,2020,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880320.pdf,5,,,False,False,0
6,ABB,2019,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880319.pdf,6,,,False,False,0
7,ABB,2018,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880318.pdf,7,,,False,False,0
8,ABB,2017,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880317.pdf,8,,,False,False,0
9,ABB,2016,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880316.pdf,9,,,False,False,0
10,ABB,2015,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880315.pdf,10,,,False,False,0
11,ABB,2014,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880314.pdf,11,,,False,False,0
12,ABB,2013,https://www.bseindia.com/bseplus/AnnualReport/500488/5004881212.pdf,12,,,False,False,0
13,ABB,2012,https://www.bseindia.com/bseplus/AnnualReport/500488/5004881211.pdf,13,,,False,False,0
14,ABB,2011,https://www.bseindia.com/bseplus/AnnualReport/500488/5004881210.pdf,14,,,False,False,0
15,ABB,2010,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2009/ABBOTT_INDIA_LTD-500488-MARCH-2009.PDF,15,,,False,False,0
16,ABB,2009,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2009/ABBOTT_INDIA_LTD-500488-MARCH-2009.PDF,16,,,False,False,0
17,ADANIENSOL,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/db15693a-a436-4d72-8bd4-20384a5901ec.pdf,17,,,False,False,0
18,ADANIENSOL,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//358ddfd2-4e21-40f8-aa09-f1e801e5bd48.pdf,18,,,False,False,0
19,ADANIENSOL,2022,https://www.bseindia.com/bseplus/AnnualReport/539254/73480539254.pdf,19,,,False,False,0
20,ADANIENSOL,2021,https://www.bseindia.com/bseplus/AnnualReport/539254/68602539254.pdf,20,,,False,False,0
21,ADANIENSOL,2020,https://www.bseindia.com/bseplus/AnnualReport/539254/5392540320.pdf,21,,,False,False,0
22,ADANIENSOL,2019,https://www.bseindia.com/bseplus/AnnualReport/539254/5392540319.pdf,22,,,False,False,0
23,ADANIENSOL,2018,https://www.bseindia.com/bseplus/AnnualReport/539254/5392540318.pdf,23,,,False,False,0
24,ADANIENSOL,2017,https://www.bseindia.com/bseplus/AnnualReport/539254/5392540317.pdf,24,,,False,False,0
25,ADANIENSOL,2016,https://www.bseindia.com/bseplus/AnnualReport/539254/5392540316.pdf,25,,,False,False,0
26,ADANIENSOL,2015,Null,26,,,False,False,0
27,ADANIENSOL,2014,Null,27,,,False,False,0
28,ADANIENSOL,2013,Null,28,,,False,False,0
29,ADANIENSOL,2012,Null,29,,,False,False,0
30,ADANIENSOL,2011,Null,30,,,False,False,0
31,ADANIENSOL,2010,Null,31,,,False,False,0
32,ADANIENSOL,2009,Null,32,,,False,False,0
33,ADANIENT,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/045307f4-4c12-4e61-9764-d48b84c5b233.pdf,33,,,False,False,0
34,ADANIENT,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//5b37eb7e-c78a-431c-a8b8-03b1bbf4e1a5.pdf,34,,,False,False,0
35,ADANIENT,2022,https://www.bseindia.com/bseplus/AnnualReport/512599/73441512599.pdf,35,,,False,False,0
36,ADANIENT,2021,https://www.bseindia.com/bseplus/AnnualReport/512599/68600512599.pdf,36,,,False,False,0
37,ADANIENT,2020,https://www.bseindia.com/bseplus/AnnualReport/512599/5125990320.pdf,37,,,False,False,0
38,ADANIENT,2019,https://www.bseindia.com/bseplus/AnnualReport/512599/5125990319.pdf,38,,,False,False,0
39,ADANIENT,2018,https://www.bseindia.com/bseplus/AnnualReport/512599/5125990318.pdf,39,,,False,False,0
40,ADANIENT,2017,https://www.bseindia.com/bseplus/AnnualReport/512599/5125990317.pdf,40,,,False,False,0
41,ADANIENT,2016,https://www.bseindia.com/bseplus/AnnualReport/512599/5125990316.pdf,41,,,False,False,0
42,ADANIENT,2015,https://www.bseindia.com/bseplus/AnnualReport/512599/5125990315.pdf,42,,,False,False,0
43,ADANIENT,2014,https://www.bseindia.com/bseplus/AnnualReport/512599/5125990314.pdf,43,,,False,False,0
44,ADANIENT,2013,https://www.bseindia.com/bseplus/AnnualReport/512599/5125990313.pdf,44,,,False,False,0
45,ADANIENT,2012,https://www.bseindia.com/bseplus/AnnualReport/512599/5125990312.pdf,45,,,False,False,0
46,ADANIENT,2011,,46,,,False,False,0
47,ADANIENT,2010,,47,,,False,False,0
48,ADANIENT,2009,,48,,,False,False,0
49,ADANIGREEN,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f5d2f21e-c8a9-41ec-9c21-448079b9d8f1.pdf,49,,,False,False,0
50,ADANIGREEN,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//fe379645-1283-416e-9899-b395c26dee78.pdf,50,,,False,False,0
51,ADANIGREEN,2022,https://www.bseindia.com/bseplus/AnnualReport/541450/73444541450.pdf,51,,,False,False,0
52,ADANIGREEN,2021,https://www.bseindia.com/bseplus/AnnualReport/541450/68601541450.pdf,52,,,False,False,0
53,ADANIGREEN,2020,https://www.bseindia.com/bseplus/AnnualReport/541450/5414500320.pdf,53,,,False,False,0
54,ADANIGREEN,2019,https://www.bseindia.com/bseplus/AnnualReport/541450/5414500319.pdf,54,,,False,False,0
55,ADANIGREEN,2018,https://www.bseindia.com/bseplus/AnnualReport/541450/5414500318.pdf,55,,,False,False,0
56,ADANIGREEN,2017,Null,56,,,False,False,0
57,ADANIGREEN,2016,Null,57,,,False,False,0
58,ADANIGREEN,2015,Null,58,,,False,False,0
59,ADANIGREEN,2014,Null,59,,,False,False,0
60,ADANIGREEN,2013,Null,60,,,False,False,0
61,ADANIGREEN,2012,Null,61,,,False,False,0
62,ADANIGREEN,2011,Null,62,,,False,False,0
63,ADANIGREEN,2010,Null,63,,,False,False,0
64,ADANIGREEN,2009,Null,64,,,False,False,0
65,ADANIPORTS,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c3aba93e-4577-41bf-9623-f711be83882b.pdf,65,,,False,False,0
66,ADANIPORTS,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//fa93bdec-70e9-4c68-8978-c2add3549e79.pdf,66,,,False,False,0
67,ADANIPORTS,2022,https://www.bseindia.com/bseplus/AnnualReport/532921/73447532921.pdf,67,,,False,False,0
68,ADANIPORTS,2021,https://www.bseindia.com/bseplus/AnnualReport/532921/68598532921.pdf,68,,,False,False,0
69,ADANIPORTS,2020,https://www.bseindia.com/bseplus/AnnualReport/532921/5329210320.pdf,69,,,False,False,0
70,ADANIPORTS,2019,Null,70,,,False,False,0
71,ADANIPORTS,2018,Null,71,,,False,False,0
72,ADANIPORTS,2017,Null,72,,,False,False,0
73,ADANIPORTS,2016,https://www.bseindia.com/bseplus/AnnualReport/532921/5329210316.pdf,73,,,False,False,0
74,ADANIPORTS,2015,Null,74,,,False,False,0
75,ADANIPORTS,2014,Null,75,,,False,False,0
76,ADANIPORTS,2013,Null,76,,,False,False,0
77,ADANIPORTS,2012,Null,77,,,False,False,0
78,ADANIPORTS,2011,https://www.bseindia.com/bseplus/AnnualReport/532921/5329210311.pdf,78,,,False,False,0
79,ADANIPORTS,2010,Null,79,,,False,False,0
80,ADANIPORTS,2009,Null,80,,,False,False,0
81,ADANIPOWER,2024,https://www.bseindia.com/bseplus/AnnualReport/533096/73468533096.pdf,81,,,False,False,0
82,ADANIPOWER,2023,https://www.bseindia.com/bseplus/AnnualReport/533096/68599533096.pdf,82,,,False,False,0
83,ADANIPOWER,2022,https://www.bseindia.com/bseplus/AnnualReport/533096/5330960320.pdf,83,,,False,False,0
84,ADANIPOWER,2021,https://www.bseindia.com/bseplus/AnnualReport/533096/5330960319.pdf,84,,,False,False,0
85,ADANIPOWER,2020,https://www.bseindia.com/bseplus/AnnualReport/533096/5330960318.pdf,85,,,False,False,0
86,ADANIPOWER,2019,https://www.bseindia.com/bseplus/AnnualReport/533096/5330960317.pdf,86,,,False,False,0
87,ADANIPOWER,2018,https://www.bseindia.com/bseplus/AnnualReport/533096/5330960316.pdf,87,,,False,False,0
88,ADANIPOWER,2017,https://www.bseindia.com/bseplus/AnnualReport/533096/5330960315.pdf,88,,,False,False,0
89,ADANIPOWER,2016,https://www.bseindia.com/bseplus/AnnualReport/533096/5330960314.pdf,89,,,False,False,0
90,ADANIPOWER,2015,Null,90,,,False,False,0
91,ADANIPOWER,2014,Null,91,,,False,False,0
92,ADANIPOWER,2013,Null,92,,,False,False,0
