"bluestock_fintech_—_nifty_100__|__balance_sheet__|__1,312_records",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12
id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets
136,ABB,Dec 2012,21,626,0,260,907,109,1,0,798,907
137,ABB,Mar 2014,21,767,0,351,1139,98,1,0,1040,1139
138,ABB,Mar 2015,21,916,0,436,1374,96,4,0,1274,1374
139,ABB,Mar 2016,21,1174,0,421,1616,108,3,0,1505,1616
140,ABB,Mar 2017,21,1366,0,679,2066,110,6,0,1950,2066
141,ABB,Mar 2018,21,1672,0,723,2416,81,2,0,2333,2416
142,ABB,Mar 2019,21,1987,0,932,2941,105,1,0,2835,2941
143,ABB,Mar 2020,21,2410,175,940,3547,270,2,0,3275,3547
144,ABB,Mar 2021,21,2581,153,1086,3840,251,1,0,3589,3840
145,ABB,Mar 2022,21,2799,152,1253,4224,271,1,0,3952,4224
146,ABB,Mar 2023,21,3167,113,1254,4556,237,4,0,4315,4556
147,ABB,Mar 2024,21,3678,83,1411,5193,225,10,0,4958,5193
148,ABB,Sep 2024,21,3500,60,1481,5063,216,13,0,4834,5063
149,ADANIENSOL,Mar 2014,0.1,0,0,0,0,0,0,0,0,0
150,ADANIENSOL,Mar 2015,1090,-7,9701,708,11492,10573,10,0,909,11492
151,ADANIENSOL,Mar 2016,1100,1572,8585,489,11746,10060,258,20,1407,11746
152,ADANIENSOL,Mar 2017,1100,1847,8975,890,12811,9853,1343,105,1510,12811
153,ADANIENSOL,Mar 2018,1100,4957,10428,781,17265,9291,2353,0,5621,17265
154,ADANIENSOL,Mar 2019,1100,6943,20137,4379,32558,24412,694,336,7117,32558
155,ADANIENSOL,Mar 2020,1100,7399,24246,6966,39711,24924,2212,313,12262,39711
156,ADANIENSOL,Mar 2021,1100,7819,27095,7219,43234,26987,5255,442,10550,43234
157,ADANIENSOL,Mar 2022,1100,8813,29902,7650,47464,30272,5060,561,11572,47464
158,ADANIENSOL,Mar 2023,1115,10634,34270,7913,53932,32645,6200,1370,13716,53932
159,ADANIENSOL,Mar 2024,1115,11526,37070,8827,58538,38920,3003,766,15849,58538
160,ADANIENSOL,Sep 2024,1201,19784,39009,9113,69107,38186,4355,1608,24958,69107
170,ADANIENT,Mar 2013,110,21286,69332,21143,111871,48770,29248,323,33529,111871
171,ADANIENT,Mar 2014,110,23647,71980,22365,118102,70579,13574,288,33661,118102
172,ADANIENT,Mar 2015,110,25618,83571,21420,130718,83834,6733,744,39407,130718
173,ADANIENT,Mar 2016,110,13268,19169,9132,41679,10473,7705,805,22696,41679
174,ADANIENT,Mar 2017,110,14026,20846,12630,47611,13668,7731,1042,25170,47611
175,ADANIENT,Mar 2018,110,14979,17637,23679,56405,10555,5526,1461,38864,56405
