"bluestock_fintech_—_nifty_100__|__profit_&_loss__|__1,276_records",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14
id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout
61,ABB,Dec 2012,1653,1451,202,12,33,0,19,215,33,145,68,25
62,ABB,Mar 2014,2276,2009,267,12,49,0,22,295,33,198,93,25
63,ABB,Mar 2015,2289,1977,312,14,48,0,15,344,34,229,108,29
64,ABB,Mar 2016,2614,2250,365,14,50,3,14,398,36,255,120,29
65,ABB,Mar 2017,2903,2505,398,14,57,2,16,436,37,277,130,31
66,ABB,Mar 2018,3298,2774,525,16,117,4,16,621,35,401,189,29
67,ABB,Mar 2019,3679,3074,605,16,113,2,17,699,36,450,212,31
68,ABB,Mar 2020,4093,3336,757,18,114,9,60,803,26,593,279,90
69,ABB,Mar 2021,4310,3388,922,21,81,18,58,926,25,691,325,85
70,ABB,Mar 2022,4913,3832,1082,22,83,19,66,1080,26,799,376,73
71,ABB,Mar 2023,5349,4143,1206,23,154,16,70,1274,25,949,447,73
72,ABB,Mar 2024,5849,4396,1453,25,248,12,71,1618,26,1201,565,73
73,ABB,TTM,6066,4519,1547,26,265,11,72,1728,,1285,605,
86,ADANIENSOL,Mar 2014,0,0,0,,0,0,0,0,0,0,0,
87,ADANIENSOL,Mar 2015,131,29,101,78,3,73,37,-5,34,-7,0,0
88,ADANIENSOL,Mar 2016,2194,267,1927,88,70,957,560,480,23,368,3,0
89,ADANIENSOL,Mar 2017,2876,893,1983,69,22,904,569,532,22,416,4,0
90,ADANIENSOL,Mar 2018,3944,1118,2826,72,111,886,579,1472,22,1143,10,0
91,ADANIENSOL,Mar 2019,7305,4528,2778,38,336,1391,882,840,33,559,5,0
92,ADANIENSOL,Mar 2020,11416,7158,4258,37,261,2238,1174,1107,36,706,7,0
93,ADANIENSOL,Mar 2021,9926,5976,3950,40,1115,2117,1329,1620,20,1290,11,0
94,ADANIENSOL,Mar 2022,11258,7051,4206,37,1286,2365,1427,1700,27,1236,11,0
95,ADANIENSOL,Mar 2023,13293,8775,4518,34,1583,2781,1608,1712,25,1281,11,0
96,ADANIENSOL,Mar 2024,16607,10896,5711,30,611,2767,1776,1780,33,1196,10,0
97,ADANIENSOL,TTM,22099,15507,6592,,-844,3183,1912,653,,589,6,
98,ADANIENT,Mar 2013,46375,40354,6021,13,1775,3492,2298,2005,39,1218,15,10
99,ADANIENT,Mar 2014,54947,45564,9383,17,1157,5703,3223,1614,-64,2646,20,7
100,ADANIENT,Mar 2015,64465,52015,12450,19,792,7056,3522,2663,14,2298,18,8
101,ADANIENT,Mar 2016,34008,32325,1684,5,1044,1357,314,1056,7,1000,9,4
102,ADANIENT,Mar 2017,36533,34631,1902,5,749,1257,315,1079,25,925,9,4
103,ADANIENT,Mar 2018,35924,33886,2038,6,363,1250,664,487,23,594,7,6
104,ADANIENT,Mar 2019,40379,38409,1969,5,504,1625,390,459,32,506,7,6
105,ADANIENT,Mar 2020,43403,41108,2294,5,872,1572,472,1122,29,1040,10,10
106,ADANIENT,Mar 2021,39537,37031,2506,6,494,1377,537,1086,31,1046,8,12
107,ADANIENT,Mar 2022,69420,65707,3714,5,1012,2526,1248,952,50,788,7,14
108,ADANIENT,Mar 2023,127540,118722,8818,7,834,3969,2436,3247,32,2422,22,6
109,ADANIENT,Mar 2024,96421,85044,11377,12,1146,4555,3042,4926,33,3335,28,5
110,ADANIENT,TTM,102311,88418,13893,14,1489,4150,3541,7691,,6086,49,
111,ADANIGREEN,Mar 2017,502,98,403,80,80,334,333,-184,-75,-47,0,0
112,ADANIGREEN,Mar 2018,1480,637,843,57,42,552,543,-210,-35,-138,-1,0
113,ADANIGREEN,Mar 2019,2058,532,1526,74,73,1121,1062,-585,-19,-475,-3,0
114,ADANIGREEN,Mar 2020,2549,1098,1450,57,-111,995,394,-50,23,-68,0,0
115,ADANIGREEN,Mar 2021,3124,883,2241,72,391,1953,486,193,6,182,1,0
116,ADANIGREEN,Mar 2022,5133,1621,3512,68,507,2617,849,553,12,489,3,0
117,ADANIGREEN,Mar 2023,7776,2806,4970,64,667,2911,1300,1426,32,973,6,0
118,ADANIGREEN,Mar 2024,9220,1902,7318,79,1262,5006,1903,1671,25,1260,7,0
119,ADANIGREEN,TTM,10782,2682,8100,75,891,4959,2323,1709,,1928,9,0
120,ADANIPORTS,Mar 2013,3577,1195,2382,67,344,542,422,1762,7,1639,8,12
121,ADANIPORTS,Mar 2014,4830,1910,2919,60,685,977,649,1978,12,1741,8,12
122,ADANIPORTS,Mar 2015,6152,2250,3902,63,686,1175,912,2501,7,2324,11,10
123,ADANIPORTS,Mar 2016,7109,2532,4577,64,730,1124,1063,3119,9,2856,14,8
124,ADANIPORTS,Mar 2017,8439,3021,5418,64,1037,1116,1160,4179,7,3902,19,7
125,ADANIPORTS,Mar 2018,11323,4166,7157,63,844,1579,1188,5234,30,3690,18,11
126,ADANIPORTS,Mar 2019,10925,4330,6596,60,1289,1385,1373,5126,21,4045,19,1
127,ADANIPORTS,Mar 2020,11873,5926,5947,50,1928,1951,1680,4244,11,3785,19,17
128,ADANIPORTS,Mar 2021,12550,3862,8688,69,1967,2255,2107,6292,20,5049,25,20
129,ADANIPORTS,Mar 2022,17119,7591,9528,56,1832,2544,3099,5717,13,4953,23,22
130,ADANIPORTS,Mar 2023,20852,9905,10947,52,327,2363,3425,5487,2,5391,25,20
131,ADANIPORTS,Mar 2024,26711,11121,15589,58,671,2733,3888,9639,16,8104,38,16
132,ADANIPORTS,TTM,28443,11278,17165,60,1039,2591,4053,11560,,9743,45,
133,ADANIPORTS,Mar 2013,3577,1195,2382,67,344,542,422,1762,7,1639,8,12
134,ADANIPORTS,Mar 2014,4830,1910,2919,60,685,977,649,1978,12,1741,8,12
135,ADANIPORTS,Mar 2015,6152,2250,3902,63,686,1175,912,2501,7,2324,11,10
136,ADANIPORTS,Mar 2016,7109,2532,4577,64,730,1124,1063,3119,9,2856,14,8
137,ADANIPORTS,Mar 2017,8439,3021,5418,64,1037,1116,1160,4179,7,3902,19,7
138,ADANIPORTS,Mar 2018,11323,4166,7157,63,844,1579,1188,5234,30,3690,18,11
139,ADANIPORTS,Mar 2019,10925,4330,6596,60,1289,1385,1373,5126,21,4045,19,1
140,ADANIPORTS,Mar 2020,11873,5926,5947,50,1928,1951,1680,4244,11,3785,19,17
141,ADANIPORTS,Mar 2021,12550,3862,8688,69,1967,2255,2107,6292,20,5049,25,20
142,ADANIPORTS,Mar 2022,17119,7591,9528,56,1832,2544,3099,5717,13,4953,23,22
143,ADANIPORTS,Mar 2023,20852,9905,10947,52,327,2363,3425,5487,2,5391,25,20
144,ADANIPORTS,Mar 2024,26711,11121,15589,58,671,2733,3888,9639,16,8104,38,16
145,ADANIPORTS,TTM,28443,11278,17165,60,1039,2591,4053,11560,,9743,45,
146,ADANIPOWER,Mar 2013,6692,5732,960,14,215,1703,1290,-1818,26,-2295,-10,0
147,ADANIPOWER,Mar 2014,15328,10735,4593,30,137,4162,1937,-1370,-79,-291,-1,0
148,ADANIPOWER,Mar 2015,18683,14005,4678,25,1188,4864,1818,-816,0,-816,-3,0
149,ADANIPOWER,Mar 2016,25377,16575,8802,35,-201,5560,2666,375,-47,551,2,0
150,ADANIPOWER,Mar 2017,22616,16635,5980,26,-3666,5902,2672,-6260,-1,-6174,-16,0
151,ADANIPOWER,Mar 2018,20304,14868,5436,27,754,5570,2699,-2079,0,-2103,-5,0
152,ADANIPOWER,Mar 2019,23884,18901,4983,21,2448,5657,2751,-976,1,-984,-3,0
153,ADANIPOWER,Mar 2020,26468,20734,5734,22,323,5315,3006,-2265,0,-2275,-6,0
154,ADANIPOWER,Mar 2021,26221,17533,8688,33,1909,5106,3202,2289,45,1270,3,0
155,ADANIPOWER,Mar 2022,27711,17830,9881,36,3908,4095,3118,6577,25,4912,13,0
156,ADANIPOWER,Mar 2023,38773,28677,10096,26,4216,3334,3304,7675,-40,10727,28,0
157,ADANIPOWER,Mar 2024,50351,32124,18228,36,9883,3388,3931,20792,0,20829,54,0
158,ADANIPOWER,TTM,54650,33685,20965,38,2124,3235,4046,15808,,12686,33,
159,AMBUJACEM,Dec 2012,9749,7276,2473,25,69,78,569,1896,32,1292,8,43
160,AMBUJACEM,Dec 2013,9161,7492,1669,18,390,67,494,1498,15,1278,8,44
161,AMBUJACEM,Dec 2014,9955,8022,1934,19,419,66,513,1774,16,1487,10,46
162,AMBUJACEM,Dec 2015,9437,7895,1542,16,353,92,630,1173,31,808,5,54
163,AMBUJACEM,Dec 2016,20094,16913,3181,16,441,153,1461,2008,29,1434,6,50
164,AMBUJACEM,Dec 2017,23609,19751,3858,16,335,206,1219,2768,30,1945,8,47
165,AMBUJACEM,Dec 2018,26041,22030,4011,15,232,170,1154,2919,-2,2973,11,14
166,AMBUJACEM,Dec 2019,27104,22507,4597,17,601,170,1153,3875,28,2783,11,14
167,AMBUJACEM,Dec 2020,24516,19511,5006,20,288,140,1162,3992,22,3107,12,151
