symbol,profitability_score,growth_score,leverage_score,cashflow_score,dividend_score,trend_score,overall_score,health_label,computed_at
DIVISLAB,51.78,50.0,50.0,50.0,36.82,0.0,47.38,AVERAGE,2026-05-16 20:41:36.196190
BHEL,51.76,50.0,50.0,50.0,41.29,0.0,47.59,AVERAGE,2026-05-16 20:41:36.208997
HINDALCO,63.56,50.0,50.0,50.0,2.38,0.0,49.19,AVERAGE,2026-05-16 20:41:36.215995
TITAN,51.76,50.0,50.0,50.0,32.83,0.0,47.17,AVERAGE,2026-05-16 20:41:36.220258
MARUTI,51.77,50.0,50.0,50.0,31.21,0.0,47.09,AVERAGE,2026-05-16 20:41:36.221992
BAJAJFINSV,51.79,50.0,50.0,50.0,1.71,0.0,45.62,AVERAGE,2026-05-16 20:41:36.223150
HAL,51.77,50.0,50.0,50.0,36.54,0.0,47.36,AVERAGE,2026-05-16 20:41:36.224553
JIOFIN,51.82,50.0,50.0,50.0,0.0,0.0,45.55,AVERAGE,2026-05-16 20:41:36.225636
HCLTECH,51.77,50.0,50.0,50.0,48.62,0.0,47.96,AVERAGE,2026-05-16 20:41:36.231057
BANKBARODA,49.74,50.0,50.0,50.0,12.37,0.0,45.54,AVERAGE,2026-05-16 20:41:36.237713
ITC,51.78,50.0,50.0,50.0,82.02,0.0,49.64,AVERAGE,2026-05-16 20:41:36.244291
TVSMOTOR,51.76,50.0,50.0,50.0,29.88,0.0,47.02,AVERAGE,2026-05-16 20:41:36.247096
DABUR,51.77,50.0,50.0,50.0,49.95,0.0,48.03,AVERAGE,2026-05-16 20:41:36.252764
ADANIPOWER,51.78,50.0,50.0,50.0,0.0,0.0,45.53,AVERAGE,2026-05-16 20:41:36.254692
NTPC,51.78,50.0,50.0,50.0,41.39,0.0,47.6,AVERAGE,2026-05-16 20:41:36.258946
DLF,51.78,50.0,50.0,50.0,45.67,0.0,47.82,AVERAGE,2026-05-16 20:41:36.265525
DRREDDY,51.77,50.0,50.0,50.0,22.26,0.0,46.64,AVERAGE,2026-05-16 20:41:36.277398
TECHM,51.77,50.0,50.0,50.0,54.8,0.0,48.27,AVERAGE,2026-05-16 20:41:36.286184
SBIN,51.74,50.0,50.0,50.0,94.48,0.0,50.25,AVERAGE,2026-05-16 20:41:36.295697
ADANIGREEN,51.81,50.0,50.0,50.0,0.0,0.0,45.54,AVERAGE,2026-05-16 20:41:36.302949
LODHA,51.77,50.0,50.0,50.0,3.53,0.0,45.71,AVERAGE,2026-05-16 20:41:36.304633
APOLLOHOSP,51.77,50.0,50.0,50.0,33.87,0.0,47.22,AVERAGE,2026-05-16 20:41:36.315207
BAJFINANCE,58.29,50.0,50.0,50.0,13.93,0.0,48.18,AVERAGE,2026-05-16 20:41:36.318239
BAJAJ-AUTO,51.77,50.0,50.0,50.0,56.8,0.0,48.37,AVERAGE,2026-05-16 20:41:36.318831
COALINDIA,70.0,50.0,50.0,50.0,93.63,0.0,55.68,AVERAGE,2026-05-16 20:41:36.320678
TATAPOWER,51.77,50.0,50.0,50.0,4.95,0.0,45.78,AVERAGE,2026-05-16 20:41:36.325616
ADANIENSOL,51.8,50.0,50.0,50.0,0.0,0.0,45.54,AVERAGE,2026-05-16 20:41:36.341399
TATAMOTORS,51.77,50.0,50.0,50.0,4.85,0.0,45.77,AVERAGE,2026-05-16 20:41:36.350314
INDUSINDBK,52.02,50.0,50.0,50.0,14.08,0.0,46.31,AVERAGE,2026-05-16 20:41:36.351849
CHOLAFIN,53.29,50.0,50.0,50.0,12.08,0.0,46.59,AVERAGE,2026-05-16 20:41:36.359111
INFY,51.78,50.0,50.0,50.0,57.19,0.0,48.39,AVERAGE,2026-05-16 20:41:36.362654
