id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow
37,TCS,Mar-13,11615,-6038,-5729,-152
38,TCS,Mar-14,14751,-9452,-5673,-374
39,TCS,Mar-15,19369,-1807,-17168,394
40,TCS,Mar-16,19109,-5010,-9666,4433
41,TCS,Mar-17,25223,-16895,-11026,-2698
42,TCS,Mar-18,25067,3104,-26885,1286
43,TCS,Mar-19,28593,1645,-27897,2341
44,TCS,Mar-20,32369,8968,-39915,1422
45,TCS,Mar-21,38802,-7956,-32634,-1788
46,TCS,Mar-22,39949,-738,-33581,5630
47,TCS,Mar-23,41965,548,-47878,-5365
48,TCS,Mar-24,44338,6091,-48536,1893
61,ABB,Dec 2012,101,-59,-42,1
62,ABB,Mar 2014,155,-144,-42,-31
63,ABB,Mar 2015,215,-187,-58,-30
64,ABB,Mar 2016,249,-77,-80,91
65,ABB,Mar 2017,307,-155,-90,62
66,ABB,Mar 2018,153,-215,-102,-165
67,ABB,Mar 2019,499,-257,-143,99
68,ABB,Mar 2020,626,-401,-217,8
69,ABB,Mar 2021,727,-72,-582,73
70,ABB,Mar 2022,948,-396,-637,-86
71,ABB,Mar 2023,893,-148,-639,107
72,ABB,Mar 2024,1213,-416,-745,52
73,ABB,Mar 2014,0,0,0,0
74,ABB,Mar 2015,-35,-1864,1902,3
75,ABB,Mar 2016,1544,-816,-722,6
76,ABB,Mar 2017,2189,-1730,-455,4
77,ABB,Mar 2018,2198,-3192,1589,596
78,ABB,Mar 2019,2591,-3050,38,-421
79,ABB,Mar 2020,5437,-5643,1250,1045
80,ABB,Mar 2021,3784,-4009,-745,-969
81,ABB,Mar 2022,4097,-3936,-235,-75
82,ABB,Mar 2023,3777,-4699,923,2
83,ABB,Mar 2024,6038,-4943,-543,551
84,ADANIENSOL,Mar 2014,0,0,0,0
85,ADANIENSOL,Mar 2015,-35,-1864,1902,3
86,ADANIENSOL,Mar 2016,1544,-816,-722,6
87,ADANIENSOL,Mar 2017,2189,-1730,-455,4
88,ADANIENSOL,Mar 2018,2198,-3192,1589,596
89,ADANIENSOL,Mar 2019,2591,-3050,38,-421
90,ADANIENSOL,Mar 2020,5437,-5643,1250,1045
91,ADANIENSOL,Mar 2021,3784,-4009,-745,-969
92,ADANIENSOL,Mar 2022,4097,-3936,-235,-75
93,ADANIENSOL,Mar 2023,3777,-4699,923,2
94,ADANIENSOL,Mar 2024,6038,-4943,-543,551
95,ADANIENT,Mar 2013,7666,-14790,7199,75
96,ADANIENT,Mar 2014,8228,-8007,-1109,-888
97,ADANIENT,Mar 2015,8532,-11465,3445,512
98,ADANIENT,Mar 2016,5112,-1825,-3448,-161
99,ADANIENT,Mar 2017,774,-1460,716,30
100,ADANIENT,Mar 2018,2942,-7649,5120,413
101,ADANIENT,Mar 2019,3236,2487,-6158,-436
102,ADANIENT,Mar 2020,2454,-1082,-221,1151
103,ADANIENT,Mar 2021,4043,-8611,3109,-1459
104,ADANIENT,Mar 2022,1385,-17041,15901,246
105,ADANIENT,Mar 2023,17626,-15459,-1198,970
106,ADANIENT,Mar 2024,10312,-18767,8879,424
107,ADANIGREEN,Mar 2017,28,-1511,1559,76
108,ADANIGREEN,Mar 2018,649,-4428,3942,162
109,ADANIGREEN,Mar 2019,1625,-2666,1045,3
110,ADANIGREEN,Mar 2020,1965,-3743,2161,383
111,ADANIGREEN,Mar 2021,1601,-9137,7083,-453
112,ADANIGREEN,Mar 2022,3127,-18730,15986,383
113,ADANIGREEN,Mar 2023,7265,-3857,-2973,435
114,ADANIGREEN,Mar 2024,7713,-21060,13953,606
115,ADANIPORTS,Mar 2013,1379,-5136,4138,381
116,ADANIPORTS,Mar 2014,1132,-2510,772,-606
117,ADANIPORTS,Mar 2015,3057,-2485,-237,335
118,ADANIPORTS,Mar 2016,2381,-4153,2170,398
119,ADANIPORTS,Mar 2017,4063,-2629,-1325,109
120,ADANIPORTS,Mar 2018,5608,-3846,-1889,-127
121,ADANIPORTS,Mar 2019,6029,-4368,2313,3975
122,ADANIPORTS,Mar 2020,7402,-749,-4256,2397
123,ADANIPORTS,Mar 2021,7556,-14064,3514,-2994
124,ADANIPORTS,Mar 2022,10420,-5493,-586,4341
125,ADANIPORTS,Mar 2023,11900,-16716,-2734,-7550
126,ADANIPORTS,Mar 2024,15018,-6768,-7800,450
127,ADANIPOWER,Mar 2013,3001,-4064,861,-203
128,ADANIPOWER,Mar 2014,3238,-4700,1631,169
129,ADANIPOWER,Mar 2015,5824,-4737,-1144,-58
130,ADANIPOWER,Mar 2016,5257,-2692,-2713,-148
131,ADANIPOWER,Mar 2017,4725,-1212,-3539,-26
132,ADANIPOWER,Mar 2018,5101,-520,-4600,-19
133,ADANIPOWER,Mar 2019,5610,-984,-4663,-37
134,ADANIPOWER,Mar 2020,5598,-2304,-2377,917
135,ADANIPOWER,Mar 2021,7014,-2188,-5655,-828
136,ADANIPOWER,Mar 2022,10233,774,-10338,669
137,ADANIPOWER,Mar 2023,8431,1545,-10408,-433
138,ADANIPOWER,Mar 2024,14170,3481,-16864,787
139,AMBUJACEM,Dec 2012,1860,-388,-509,962
140,AMBUJACEM,Dec 2013,1267,-496,-672,99
141,AMBUJACEM,Dec 2014,1675,-456,-721,498
142,AMBUJACEM,Dec 2015,1557,-83,-900,574
143,AMBUJACEM,Dec 2016,2810,-4165,-958,-2312
144,AMBUJACEM,Dec 2017,3416,-738,-1015,1663
145,AMBUJACEM,Dec 2018,1703,-765,-719,220
146,AMBUJACEM,Dec 2019,4739,-1191,-629,2919
147,AMBUJACEM,Dec 2020,4832,-1317,-3956,-441
148,AMBUJACEM,Dec 2021,5309,-2007,-516,2786
149,AMBUJACEM,Mar 2023,735,-14481,2931,-10815
150,AMBUJACEM,Mar 2024,5646,-8941,5689,2394
151,APOLLOHOSP,Mar 2013,443,-733,373,83
152,APOLLOHOSP,Mar 2014,373,-356,-63,-46
153,APOLLOHOSP,Mar 2015,470,-759,392,103
154,APOLLOHOSP,Mar 2016,597,-888,330,39
155,APOLLOHOSP,Mar 2017,623,-1152,477,-52
156,APOLLOHOSP,Mar 2018,537,-405,-108,24
157,APOLLOHOSP,Mar 2019,905,-711,-215,-20
158,APOLLOHOSP,Mar 2020,1293,-289,-910,94
159,APOLLOHOSP,Mar 2021,1265,-880,-340,44
160,APOLLOHOSP,Mar 2022,1696,-747,-792,158
161,APOLLOHOSP,Mar 2023,1377,-857,-633,-113
162,APOLLOHOSP,Mar 2024,1920,-1537,-311,72
163,ASIANPAINT,Mar 2013,1187,-463,-601,123
164,ASIANPAINT,Mar 2014,1402,-586,-626,190
165,ASIANPAINT,Mar 2015,1188,-465,-576,147
166,ASIANPAINT,Mar 2016,2243,-866,-849,528
167,ASIANPAINT,Mar 2017,1527,-681,-756,90
168,ASIANPAINT,Mar 2018,2113,-1556,-1379,-822
169,ASIANPAINT,Mar 2019,2470,-918,-1117,434
170,ASIANPAINT,Mar 2020,3038,-518,-2871,-351
171,ASIANPAINT,Mar 2021,3683,-541,-650,2492
172,ASIANPAINT,Mar 2022,986,-317,-1808,-1138
173,ASIANPAINT,Mar 2023,4193,-1282,-2140,771
174,ASIANPAINT,Mar 2024,6104,-2548,-2982,573
189,AGTL,Mar 2018,277,-988,779,68
190,AGTL,Mar 2019,356,791,-1077,70
191,AGTL,Mar 2020,492,-461,-102,-71
192,AGTL,Mar 2021,654,-770,39,-78
193,AGTL,Mar 2022,732,-1133,422,21
194,AGTL,Mar 2023,853,-1167,295,-19
195,AGTL,Mar 2024,955,-752,-78,125
196,AXISBANK,Mar 2013,2573,-10939,14931,6566
197,AXISBANK,Mar 2014,14464,-14166,7785,8082
198,AXISBANK,Mar 2015,-15162,-7972,31045,7910
199,AXISBANK,Mar 2016,-34495,9211,22495,-2789
200,AXISBANK,Mar 2017,32209,-12458,-2487,17263
201,AXISBANK,Mar 2018,-38390,-10007,41342,-7055
202,AXISBANK,Mar 2019,37125,-18674,5643,24094
203,AXISBANK,Mar 2020,30416,-9485,8865,29795
204,AXISBANK,Mar 2021,12633,-54288,7279,-34375
205,AXISBANK,Mar 2022,28137,-27112,47894,48919
206,AXISBANK,Mar 2023,22075,-32351,6641,-3636
207,AXISBANK,Mar 2024,-5555,-9001,22341,7785
208,BAJAJ-AUTO,Mar 2013,2218,-1394,-1445,-621
209,BAJAJ-AUTO,Mar 2014,3502,-2072,-1496,-66
210,BAJAJ-AUTO,Mar 2015,2114,-380,-1644,90
211,BAJAJ-AUTO,Mar 2016,3690,-68,-3384,238
212,BAJAJ-AUTO,Mar 2017,3267,-3610,-190,-532
213,BAJAJ-AUTO,Mar 2018,4328,-1954,-1885,488
214,BAJAJ-AUTO,Mar 2019,2487,-273,-2074,140
215,BAJAJ-AUTO,Mar 2020,3850,1766,-6247,-630
216,BAJAJ-AUTO,Mar 2021,3120,-2869,-20,231
217,BAJAJ-AUTO,Mar 2022,4197,276,-4056,417
218,BAJAJ-AUTO,Mar 2023,5277,1211,-7181,-692
219,BAJAJ-AUTO,Mar 2024,6558,-72,-6167,319
220,BAJAJ-AUTO,Mar 2013,2218,-1394,-1445,-621
221,BAJAJ-AUTO,Mar 2014,3502,-2072,-1496,-66
222,BAJAJ-AUTO,Mar 2015,2114,-380,-1644,90
223,BAJAJ-AUTO,Mar 2016,3690,-68,-3384,238
224,BAJAJ-AUTO,Mar 2017,3267,-3610,-190,-532
225,BAJAJ-AUTO,Mar 2018,4328,-1954,-1885,488
226,BAJAJ-AUTO,Mar 2019,2487,-273,-2074,140
227,BAJAJ-AUTO,Mar 2020,3850,1766,-6247,-630
228,BAJAJ-AUTO,Mar 2021,3120,-2869,-20,231
229,BAJAJ-AUTO,Mar 2022,4197,276,-4056,417
230,BAJAJ-AUTO,Mar 2023,5277,1211,-7181,-692
231,BAJAJ-AUTO,Mar 2024,6558,-72,-6167,319
232,BAJAJFINSV,Mar 2013,-6922,2953,4592,623
233,BAJAJFINSV,Mar 2014,-9807,3764,6521,478
234,BAJAJFINSV,Mar 2015,-10731,3709,6839,-183
235,BAJAJFINSV,Mar 2016,-9795,-886,11602,921
236,BAJAJFINSV,Mar 2017,-10922,151,12513,1742
237,BAJAJFINSV,Mar 2018,-19580,-922,19590,-911
238,BAJAJFINSV,Mar 2019,-27076,-6903,34535,555
239,BAJAJFINSV,Mar 2020,-23369,-9948,34479,1162
240,BAJAJFINSV,Mar 2021,4547,-3684,1687,2551
241,BAJAJFINSV,Mar 2022,-33670,1445,32326,101
242,BAJAJFINSV,Mar 2023,-39480,-13945,51016,-2409
243,BAJAJFINSV,Mar 2024,-68674,-10960,82709,3075
244,BAJAJHLDNG,Mar 2013,473,-369,-332,-228
245,BAJAJHLDNG,Mar 2014,872,-519,-326,27
246,BAJAJHLDNG,Mar 2015,796,-464,-391,-59
247,BAJAJHLDNG,Mar 2016,1147,1019,-761,1406
248,BAJAJHLDNG,Mar 2017,-923,-372,-110,-1406
249,BAJAJHLDNG,Mar 2018,1631,-1123,-434,74
250,BAJAJHLDNG,Mar 2019,628,-163,-536,-72
251,BAJAJHLDNG,Mar 2020,1920,-800,-1028,92
252,BAJAJHLDNG,Mar 2021,272,-308,-37,-73
253,BAJAJHLDNG,Mar 2022,1610,-151,-1460,-1
254,BAJAJHLDNG,Mar 2023,1728,-137,-1587,4
255,BAJAJHLDNG,Mar 2024,1941,-472,-1455,14
256,BAJFINANCE,Mar 2015,-7064,-360,6867,-557
257,BAJFINANCE,Mar 2016,-9870,-687,11656,1100
258,BAJFINANCE,Mar 2017,-10439,-3047,12513,-972
259,BAJFINANCE,Mar 2018,-20566,1075,19503,13
260,BAJFINANCE,Mar 2019,-29062,-5379,34449,9
261,BAJFINANCE,Mar 2020,-24412,-8758,34167,998
262,BAJFINANCE,Mar 2021,-807,-429,1741,505
263,BAJFINANCE,Mar 2022,-37090,6347,32275,1532
264,BAJFINANCE,Mar 2023,-42112,-10394,50675,-1831
265,BAJFINANCE,Mar 2024,-72760,-7171,82415,2484
266,BANKBARODA,Mar 2013,23196,-514,-790,21892
267,BANKBARODA,Mar 2014,42233,-730,5151,46654
268,BANKBARODA,Mar 2015,17838,-556,-6,17276
269,BANKBARODA,Mar 2016,-10011,-4005,-616,-14632
270,BANKBARODA,Mar 2017,17865,-551,-198,17116
271,BANKBARODA,Mar 2018,-59692,-414,3413,-56692
272,BANKBARODA,Mar 2019,-1449,-2537,4449,462
273,BANKBARODA,Mar 2020,18531,-139,14729,33120
274,BANKBARODA,Mar 2021,-887,-471,-986,-2344
275,BANKBARODA,Mar 2022,6210,-3645,-998,1567
276,BANKBARODA,Mar 2023,-21354,-1096,-5405,-27855
277,BANKBARODA,Mar 2024,-6274,-1285,5476,-2084
278,BEL,Mar 2013,-1539,1753,-158,56
279,BEL,Mar 2014,-569,759,-213,-23
280,BEL,Mar 2015,1434,-839,-209,386
281,BEL,Mar 2016,2260,-1470,-318,472
282,BEL,Mar 2017,-61,3115,-2857,197
283,BEL,Mar 2018,-687,-6,-1202,-1895
284,BEL,Mar 2019,1514,-896,-663,-45
285,BEL,Mar 2020,2570,-649,-1061,861
286,BEL,Mar 2021,5093,-2595,-1076,1422
